data;origem;tipo;processo;incidente;texto;tipo_epistemico;atribuida_a;resultado;documento_id;pagina;trecho_fonte;contexto
2025-12-03;documento;assercao;Pet 15198;7473336;Em decisão de 3.12.2025 nos autos da Reclamação n. 88.121/STF, o Ministro relator deferiu o acesso pelo Departamento de Polícia Federal.;fato_processual;;;183;2;o eminente Ministro relator,em decisão de3.12.2025,assim determinou: ‘Defiro, também, o acesso pelo Departamento de Polícia Federal;caso
2025-12-03;documento;assercao;Rcl 88121;7450195;Em 3 de dezembro de 2025, o relator deferiu a habilitação de Luiz Antonio Bull, concedeu acesso dos autos à Polícia Federal e determinou que novas diligências e medidas fossem previamente submetidas ao crivo do Supremo Tribunal Federal (doc. 46).;fato_processual;;;222;3;Em 3 de dezembro de 2025, deferi a habilitação de Luiz Antonio Bull, concedi acesso dos autos à Polícia Federal e determinei que “novas diligências e medidas devem ser previamente submetidas ao crivo desta Suprema Corte;caso
2025-12-03;portal;andamento;Rcl 88121;7450195;Despacho — 03/12/2025;;;;;;;caso
2025-12-04;documento;assercao;Rcl 88121;7450195;Em 4 de dezembro de 2025, o Deputado Federal João Carlos Paolilo Bacelar Filho requereu acesso aos autos, com fundamento na Súmula Vinculante nº 14 (doc. 52).;fato_processual;;;222;5;Em 4 de dezembro de 2025, o Deputado Federal João Carlos Paolilo Bacelar Filho requereu acesso aos autos, com fundamento na Súmula Vinculante nº 14.;caso
2025-12-05;documento;assercao;Pet 15198;7473336;Em decisão de 5.12.2025, o Juízo da 8ª Vara Criminal Federal da Seção Judiciária de São Paulo determinou a suspensão do trâmite do feito em decorrência da decisão proferida pelo Ministro Dias Toffoli nos autos da Reclamação n. 88.121/STF.;fato_processual;;;183;2;Em decisão de 5.12.2025, o Juízo da 8ª Vara Criminal Federal da Seção Judiciária de São Paulo determinou a suspensão do trâmite do feito em decorrência da decisão proferida pelo eminente Ministro Dias Toffoli nos autos da Reclamação n. 88.121/STF;caso
2025-12-05;documento;assercao;Rcl 88121;7450195;Em 5 de dezembro de 2025, o reclamante reforça a ausência de riscos relativos às supostas reiteração criminosa, obstrução da justiça e movimentação de recursos pelo alto poder econômico, requerendo a revogação das medidas cautelares diversas da prisão (doc. 68).;alegacao_parte;reclamante (D.B.V.);;222;5;Em 5 de dezembro de 2025, o reclamante reforça a ausência de riscos relativos “às suspostas reitração criminosa, obstrução da justiça e movimentação de recursos pelo alto poder econômico”, requerendo a revogação das medidas cautelares diversas da prisão (doc. 68).;caso
2025-12-09;documento;assercao;Inq 5026;7473347;O Procurador-Geral da República relata que, nos autos da Reclamação n. 88121/DF, em 9.12.2025, o Ministro relator pontuou que ficam mantidas, por ora, todas as decisões administrativas, cíveis e criminais até então proferidas em relação a todos os investigados, inclusive as constrições sobre bens e valores.;alegacao_parte;Procurador-Geral da República;;116;3;nos autos da Reclamação n. 88121/DF, em 9.12.2025, o eminente Ministro pontuou que “ficam mantidas, por ora, todas as decisões administrativas, cíveis e criminais até então proferidas em relação a todos os investigados, inclusive as constrições sobre bens e valores”;caso
2025-12-09;documento;assercao;Rcl 88121;7450195;A intimação foi recebida eletronicamente por Francisco Cleoson Sousa Nobre em 09/12/2025.;fato_processual;;;221;1;"A intimação foi recebida eletronicamente por
FRANCISCO CLEOSON SOUSA NOBRE,
85949663268, em 09/12/2025.";caso
2025-12-09;documento;assercao;Rcl 88121;7450195;Houve vista à PGR para fins de intimação em 09/12/2025.;fato_processual;;;221;1;Vista à PGR para fins de intimação - 09/12/2025;caso
2025-12-09;documento;assercao;Rcl 88121;7450195;A decisão foi assinada em Brasília, em 9 de dezembro de 2025, pelo Ministro Dias Toffoli, Relator.;fato_processual;;;222;24;Brasília, 9 de dezembro de 2025. Ministro DIASTOFFOLI Relator;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;liminar de imediata suspensão das investigações perante o Juízo Federal de primeiro grau (Inquérito Policial nº 1096304-87.2025.4.01.3400 e medidas cautelares conexas) e sua remessa ao Supremo Tribunal Federal → deferiu parcialmente o pedido liminar para suspender as investigações perante o Juízo Federal da 10ª Vara da Seção Judiciária do Distrito Federal e as demais instâncias antecedentes, e determinar a remessa ao Supremo Tribunal Federal de toda matéria, inclusive conexa, à investigação da operação Compliance Zero, com continuidade das investigações sob a supervisão imediata do Supremo Tribunal Federal até o julgamento definitivo da reclamação;;;parcialmente_deferido;222;23;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;liminar de avaliação da necessidade de manutenção da prisão do reclamante ou de substituição por medidas cautelares alternativas, e revogação das medidas cautelares diversas da prisão (doc. 68) → adiou a apreciação da manutenção das medidas distintas da prisão, por considerar indispensável a instrução completa do processo, com as informações da autoridade reclamada e o parecer da Procuradoria-Geral da República;;;outro;222;7;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;acesso aos autos, com fundamento na Súmula Vinculante nº 14 (doc. 52) → deferiu o pedido de acesso aos autos ao Deputado Federal João Carlos Paolilo Bacelar Filho, nos termos da Súmula Vinculante nº 14;;;deferido;222;23;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;expedição de ofício ao Banco Central do Brasil para fornecimento de documentação e elementos informativos sobre procedimentos administrativos em curso envolvendo as pessoas e instituições investigadas → determinou que se oficie ao Banco Central do Brasil para que forneça a documentação e os elementos informativos relativos aos procedimentos administrativos em curso que envolvam as pessoas e as instituições investigadas;;;determinado_de_oficio;222;23;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;fornecimento, pela Polícia Federal, de todos os procedimentos investigatórios referentes à Operação Compliance Zero, inclusive conexas → determinou à Polícia Federal que forneça todos os procedimentos investigatórios referentes à Operação Compliance Zero, inclusive conexas, de forma sigilosa;;;determinado_de_oficio;222;23;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;comunicação da decisão ao Diretor-Geral da Polícia Federal, ao Juízo da 10ª Vara Federal da Seção do Distrito Federal, ao Tribunal Regional Federal da 1ª Região e ao Superior Tribunal de Justiça → determinou a comunicação ao Diretor-Geral da Polícia Federal, ao Juízo da 10ª Vara Federal da Seção do Distrito Federal, ao Tribunal Regional da 1ª Região e ao Superior Tribunal de Justiça, observado o sigilo dos autos;;;determinado_de_oficio;222;23;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;cumprimento da decisão com urgência → determinou o cumprimento da decisão com urgência;;;determinado_de_oficio;222;23;;caso
2025-12-09;documento;decisao;Rcl 88121;7450195;intimação das partes → determinou as intimações;;;determinado_de_oficio;222;24;;caso
2025-12-09;portal;andamento;Rcl 88121;7450195;Decisão (sigiloso);;;;;;;caso
2025-12-12;portal;andamento;Rcl 88121;7450195;Decisão (sigiloso);;;;;;;caso
2025-12-15;documento;assercao;Rcl 88121;7450195;A decisão serve de mandado e foi proferida em Brasília, em 15 de dezembro de 2025, pelo Ministro Dias Toffoli, relator, com determinação de cumprimento e publicação.;fato_processual;;;220;2;Serve a presente de mandado. Cumpra-se. Publique-se. Brasília, 15 de dezembro de 2025. Ministro DIASTOFFOLI Relator;caso
2025-12-15;documento;decisao;Rcl 88121;7450195;custódia dos documentos e informações encartados aos autos por diversos órgãos estatais e pelo Poder Judiciário → determinou que os documentos e informações encartados aos autos sejam devidamente custodiados, com a estrita observância do devido processo legal;;;determinado_de_oficio;220;1;;caso
2025-12-15;documento;decisao;Rcl 88121;7450195;realização imediata de diligências preliminares, com prazo inicial de 30 dias → determinou a realização imediata de diligências preliminares, com prazo inicial de 30 (trinta) dias, conforme enumeradas nos itens i a iv;;;determinado_de_oficio;220;1;;caso
2025-12-15;documento;decisao;Rcl 88121;7450195;ofício ao Procurador-Geral da República para que, querendo, indique um Subprocurador-Geral da República para atuação nas oitivas preliminares → determinou a expedição de ofício ao Procurador-Geral da República para que, querendo, já indique um Subprocurador-Geral da República para atuação nas oitivas preliminares;;;determinado_de_oficio;220;2;;caso
2025-12-15;documento;decisao;Rcl 88121;7450195;adoção, pela Secretaria Judiciária, das medidas necessárias à realização das oitivas → determinou à Secretaria Judiciária que, após o recebimento das informações detalhadas sobre aqueles que serão ouvidos, adote as medidas necessárias à realização dos atos;;;determinado_de_oficio;220;2;;caso
2025-12-15;portal;andamento;Rcl 88121;7450195;Deferido;;;;;;;caso
2025-12-22;documento;assercao;Inq 5026;7473347;Os autos do Inq 5026 foram autuados em 22/12/2025 às 17:01:00, com assunto Direito Penal, Crimes contra o Sistema Financeiro Nacional, e Direito Processual Penal, Investigação Penal.;fato_processual;;;127;1;Data de autuação: 22/12/2025 às 17:01:00 Outros Dados: Folhas: 1 Volumes: 1 Apensos: 0 Assunto: DIREITO PENAL | Crimes Previstos na Legislação Extravagante | Crimes contra o Sistema Financeiro Nacional, DIREITO PROCESSUAL PENAL | Investigação Penal;caso
2025-12-22;documento;assercao;Pet 15198;7473336;Os autos da e-Pet 15198 foram autuados em 22/12/2025, às 16:49:39.;fato_processual;;;190;1;Data de autuação: 22/12/2025 às 16:49:39;caso
2025-12-22;portal;andamento;Inq 5026;7473347;Distribuído por prevenção — MIN. DIAS TOFFOLI. Prevenção do Relator/Sucessor: MIN. DIAS TOFFOLI. Justificativa legal: RISTF, art. 69, caput. Processo que justifica: Pet 15172;;;;;;;caso
2025-12-22;portal;andamento;Inq 5026;7473347;Autuado;;;;;;;caso
2025-12-22;portal;andamento;Pet 15198;7473336;Distribuído por prevenção — MIN. DIAS TOFFOLI. Prevenção do Relator/Sucessor: MIN. DIAS TOFFOLI. Justificativa legal: RISTF, art. 69, caput. Processo que justifica: Rcl 88121;;;;;;;caso
2025-12-22;portal;andamento;Pet 15198;7473336;Autuado;;;;;;;caso
2025-12-22;portal;andamento;Pet 15172;7471355;Processo findo;;;;;;;caso
2025-12-22;portal;andamento;Pet 15172;7471355;Distribuído por prevenção;;;;;;;caso
2025-12-22;portal;andamento;Pet 15172;7471355;Autuado;;;;;;;caso
2025-12-22;portal;andamento;Rcl 88121;7450195;Decisão (sigiloso);;;;;;;caso
2025-12-23;documento;assercao;Pet 15198;7473336;Um despacho foi proferido em 23.12.2025 nos autos, ao qual o Procurador-Geral da República respondeu com sua manifestação.;fato_processual;;;183;1;em atenção ao despacho proferido em 23.12.2025;caso
2025-12-23;documento;assercao;Pet 15198;7473336;Em 23.12.2025, a Procuradoria da República em São Paulo requereu a remessa dos autos ao Supremo Tribunal Federal, por vinculação à Petição n. 15.198/DF.;alegacao_parte;Procuradoria da República em São Paulo;;183;2;Em 23.12.2025, a Procuradoria da República em São Paulo requereu a remessa dos autos ao Supremo Tribunal Federal, por vinculação àPetição n.15.198/DF.;caso
2025-12-23;portal;andamento;Inq 5026;7473347;Despacho;;;;;;;caso
2025-12-23;portal;andamento;Inq 5026;7473347;Despacho;;;;;;;caso
2025-12-23;portal;andamento;Pet 15198;7473336;Despacho;;;;;;;caso
2025-12-23;portal;andamento;Rcl 88121;7450195;Despacho;;;;;;;caso
2025-12-26;portal;andamento;Inq 5026;7473347;Despacho;;;;;;;caso
2025-12-26;portal;andamento;Inq 5026;7473347;Despacho — 26/12/2025;;;;;;;caso
2025-12-26;portal;andamento;Inq 5026;7473347;Despacho;;;;;;;caso
2025-12-27;documento;assercao;Inq 5026;7473347;A intimação foi recebida eletronicamente por Ubiratan Cazetta, CPF 10944738800, em 27/12/2025.;fato_processual;;;122;1;A intimação foi recebida eletronicamente por UBIRATAN CAZETTA, 10944738800, em 27/12/2025.;caso
2025-12-27;documento;assercao;Inq 5026;7473347;"Consta o andamento ""Vista à PGR para fins de intimação"", registrado em 27/12/2025.";fato_processual;;;122;1;Vista à PGR para fins de intimação - 27/12/2025;caso
2025-12-27;documento;assercao;Inq 5026;7473347;O despacho foi proferido em Brasília, em 27 de dezembro de 2025, pelo Ministro Dias Toffoli, relator, determinando o cumprimento e a publicação.;fato_processual;;;123;2;Cumpra-se e publique-se. Brasília, 27 de dezembro de 2025. Ministro DIASTOFFOLI Relator;caso
2025-12-27;documento;assercao;Inq 5026;7473347;A intimação foi recebida eletronicamente por Francisco Cleoson Sousa Nobre em 27/12/2025.;fato_processual;;;124;1;A intimação foi recebida eletronicamente por FRANCISCO CLEOSON SOUSA NOBRE, 85949663268, em 27/12/2025.;caso
2025-12-27;documento;assercao;Inq 5026;7473347;A intimação foi recebida eletronicamente por Francisco Cleoson Sousa Nobre em 27/12/2025.;fato_processual;;;125;1;"A intimação foi recebida eletronicamente por
FRANCISCO CLEOSON SOUSA NOBRE,
85949663268, em 27/12/2025.";caso
2025-12-27;documento;assercao;Inq 5026;7473347;Houve vista à PGR para fins de intimação em 27/12/2025.;fato_processual;;;125;1;Vista à PGR para fins de intimação - 27/12/2025;caso
2025-12-27;documento;decisao;Inq 5026;7473347;embargos de declaração opostos pelo Banco Central do Brasil e Ailton de Aquino Santos → deixou de conhecer dos embargos, por não serem os embargantes investigados nem sujeitos das medidas já determinadas nos autos;;;nao_conhecido;123;1;;caso
2025-12-27;documento;decisao;Inq 5026;7473347;realização dos depoimentos e acareações entre os investigados, tal como explicitados em despachos anteriores → determinou a realização dos atos tal como já explicitados em despachos anteriores, sob a condução da autoridade policial competente, com organização pelo juiz auxiliar do gabinete;;;determinado_de_oficio;123;1;;caso
2025-12-27;documento;decisao;Inq 5026;7473347;manutenção do sigilo dos autos → manteve o sigilo dos autos diante da necessidade do regular prosseguimento das investigações;;;determinado_de_oficio;123;1;;caso
2025-12-27;portal;andamento;Inq 5026;7473347;Despacho — 27/12/2025;;;;;;;caso
2025-12-27;portal;andamento;Inq 5026;7473347;Despacho — 26/12/2025;;;;;;;caso
2026-01-06;documento;assercao;Pet 15198;7473336;A decisão foi proferida em Brasília, em 6 de janeiro de 2026, pelo Ministro Dias Toffoli, relator.;fato_processual;;;183;20;Brasília, 6 de janeiro de 2026. Ministro DIASTOFFOLI Relator;caso
2026-01-06;documento;decisao;Pet 15198;7473336;remessa do feito (inquérito em curso na 8ª Vara Criminal Federal de São Paulo) ao Supremo Tribunal Federal → consignou que o requerimento de remessa do feito ao Supremo Tribunal Federal mostra-se pertinente e necessário;;;outro;183;4;;caso
2026-01-06;documento;decisao;Pet 15198;7473336;encampação parcial da manifestação da Procuradoria da República em São Paulo de 27.10.2025, com as retificações posteriores, e deferimento dos pedidos formulados pela autoridade policial, à exceção da prisão preventiva de Daniel Bueno Vorcaro → deferiu o pedido formulado pelo Procurador-Geral da República, nos exatos limites em que formulado;;;deferido;183;19;;caso
